2023-11-28T14:52:55+00:00 anthos-ubuntu fe9ec92e5888[1735]: hello world
2023-11-28T14:53:22+00:00 anthos-ubuntu fe349fe6d5bf[1735]: LETSGOOOOOOOOOOOOOOO
2024-01-02T11:13:21.728888+00:00 anthos-ubuntu anthos local6.info test
2024-01-02T11:13:26.586486+00:00 anthos-ubuntu anthos local6.info test
2024-01-02T11:13:27.691491+00:00 anthos-ubuntu anthos local6.info test
2024-01-02T11:13:33.151547+00:00 anthos-ubuntu anthos local6.info test
2024-01-02T11:13:33.340770+00:00 anthos-ubuntu anthos local6.info test
2024-01-02T11:13:33.482481+00:00 anthos-ubuntu anthos local6.info test
2024-01-02T11:13:33.653460+00:00 anthos-ubuntu anthos local6.info test
2024-01-02T11:13:33.807239+00:00 anthos-ubuntu anthos local6.info test
2024-01-02T11:13:33.960890+00:00 anthos-ubuntu anthos local6.info test
